Problem_Summary,Resolution
Getting 'Ports already in use exception' when restarting the server and there is no server startup message in the logs, move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
Getting 'Ports already in use exception' when restarting the server and there is no server startup message in logs, move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
Getting 'Ports already in use exception' when restarting the server and there is no server startup message in catalina logs, move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
 mod_jk child workerEnv in error state 6,Restart/bounce the server
 mod_jk child workerEnv in error state 6,Restart/bounce the server
 mod_jk child workerEnv in error state 6,Restart/bounce the server
 mod_jk child workerEnv in error state 6,Restart/bounce the server
 mod_jk child workerEnv in error state 6,Restart/bounce the server
 mod_jk child workerEnv in error state 7,Restart/bounce the server
 mod_jk child workerEnv in error state 7,Restart/bounce the server
 mod_jk child workerEnv in error state 7,Restart/bounce the server
 mod_jk child workerEnv in error state 7,Restart/bounce the server
 mod_jk child workerEnv in error state 7,Restart/bounce the server
 mod_jk child workerEnv in error state 8,Restart/bounce the server
 mod_jk child workerEnv in error state 8,Restart/bounce the server
 mod_jk child workerEnv in error state 8,Restart/bounce the server
 mod_jk child workerEnv in error state 8,Restart/bounce the server
 mod_jk child workerEnv in error state 8,Restart/bounce the server
 mod_jk child workerEnv in error state 9,Restart/bounce the server
 mod_jk child workerEnv in error state 9,Restart/bounce the server
 mod_jk child workerEnv in error state 9,Restart/bounce the server
 mod_jk child workerEnv in error state 9,Restart/bounce the server
 mod_jk child workerEnv in error state 9,Restart/bounce the server
 mod_jk child workerEnv in error state 10,Restart/bounce the server
 mod_jk child workerEnv in error state 10,Restart/bounce the server
 mod_jk child workerEnv in error state 10,Restart/bounce the server
 mod_jk child workerEnv in error state 10,Restart/bounce the server
 mod_jk child workerEnv in error state 10,Restart/bounce the server
 [client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,Restart/bounce the server
 [client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,Restart/bounce the server
 [client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,Restart/bounce the server
 [client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,Restart/bounce the server
 [client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,Restart/bounce the server
 mod_jk child init 1 -2,Restart/bounce the server
 mod_jk child init 1 -2,Restart/bounce the server
 mod_jk child init 1 -2,Restart/bounce the server
 mod_jk child init 1 -2,Restart/bounce the server
 mod_jk child init 1 -2,Restart/bounce the server
 jk2_init() Can't find child 5053 in scoreboard,Restart/bounce the server
 jk2_init() Can't find child 5053 in scoreboard,Restart/bounce the server
 jk2_init() Can't find child 5053 in scoreboard,Restart/bounce the server
 jk2_init() Can't find child 5053 in scoreboard,Restart/bounce the server
 jk2_init() Can't find child 5053 in scoreboard,Restart/bounce the server
"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use", move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use", move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use", move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use", move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use", move jmx-remote key value pairs from JAVA_OPTS to CATALINA_OPTS in setenv.sh in both the server nodes as Tomcat was updraded recently
502 Bad gateway error,Restart/bounce the server
502 Bad gateway error,Restart/bounce the server
502 Bad gateway error,Restart/bounce the server
502 Bad gateway error,Restart/bounce the server
502 Bad gateway error,Restart/bounce the server
java.util.concurrent.ExecutionException: org.apache.catalina.LifecycleException: Failed to start component [StandardEngine[Catalina].StandardHost[localhost].StandardContext,Restart/bounce the server
java.util.concurrent.ExecutionException: org.apache.catalina.LifecycleException: Failed to start component [StandardEngine[Catalina].StandardHost[localhost].StandardContext,Restart/bounce the server
java.util.concurrent.ExecutionException: org.apache.catalina.LifecycleException: Failed to start component [StandardEngine[Catalina].StandardHost[localhost].StandardContext,Restart/bounce the server
java.util.concurrent.ExecutionException: org.apache.catalina.LifecycleException: Failed to start component [StandardEngine[Catalina].StandardHost[localhost].StandardContext,Restart/bounce the server
java.util.concurrent.ExecutionException: org.apache.catalina.LifecycleException: Failed to start component [StandardEngine[Catalina].StandardHost[localhost].StandardContext,Restart/bounce the server
Server Tomcat v7.0 Server at localhost failed to start,Restart/bounce the server
Server Tomcat v7.0 Server at localhost failed to start,Restart/bounce the server
Server Tomcat v7.0 Server at localhost failed to start,Restart/bounce the server
Server Tomcat v7.0 Server at localhost failed to start,Restart/bounce the server
Server Tomcat v7.0 Server at localhost failed to start,Restart/bounce the server
